Country,Top Export,Exports,Imports,Import / Export Ratio,2022 Population,2022 GDP,2022 GDP per capita,Est. 2023 Population,Est. 2023 GDP,Est. 2023 GDP per capita,Est. 2024 Population,Est. 2024 GDP,Est. 2024 GDP per capita,Pop. Growth 2013-2022,Pop. Growth / Year,Urban Pop,Fert. Rate,Med. Age,Income,Unemployment,Area
Poland,Car parts,432435,358593,0.83,36821757,688125,18688,36700245,766374,20851,36579134,844623,23014,-3.2,-0.33,55,1.5,40,18900,2.89,120423
Romania,Cars,129165,132700,1.03,19046683,300690,15787,18947640,335330,17658,18849112,369971,19530,-4.69,-0.52,53,1.7,41,15570,5.61,92045
Bulgaria,Copper,60712,58091,0.96,6455775,90213,13974,6378305,99073,15458,6301765,107933,16943,-11.01,-1.2,78,1.6,45,13350,4.27,42614
China,Broadcasting equipment,3715827,2715999,0.73,1412198899,17963170,12720,1418130134,18247901,12928,1424086280,18532633,13136,3.59,0.42,65,1.2,39,12850,4.98,3696097
Russia,Petroleum,636843,194393,0.31,146710889,2240422,15271,146813586,2148633,14831,146916355,2056844,14391,0.51,0.07,75,1.5,39,12750,3.87,6592812
Malaysia,Integrated circuits,299656,295092,0.98,33878512,406305,11993,34407016,425912,12654,34943765,445519,13315,15.17,1.56,78,1.8,31,11830,3.63,127752
Argentina,Soybeans,102947,76162,0.74,46233462,631133,13651,46709666,617696,13231,47190775,604260,12812,9.55,1.03,94,1.9,32,11590,6.81,1044319
Mexico,Cars,626625,604615,0.96,127278681,1463323,11497,128347821,1740174,13373,129425942,2017025,15249,7.3,0.84,88,1.8,30,10820,3.26,758445
Serbia,Insulated wire,39900,39756,1.0,6664185,63563,9538,6612870,72718,10961,6561950,81873,12384,-6.97,-0.77,69,1.5,43,9290,8.68,29957
Brazil,Iron ore,379783,272701,0.72,215305561,1920095,8918,216984944,2125743,10135,218677426,2331391,11352,7.1,0.78,88,1.6,34,8140,9.23,3285872
Bosnia and Herzegovina,Energy,11523,15382,1.33,3233320,24473,7569,3198400,26775,7992,3163857,29078,8416,-8.72,-1.08,54,1.3,42,7660,12.66,19772
Thailand,Data processing equipment,325953,306260,0.94,71684515,495340,6910,72085948,522115,7361,72489629,548890,7812,5.21,0.56,52,1.3,40,7230,0.94,198123
South Africa,Platinum,135951,111878,0.82,59889168,405270,6767,60643771,389251,6371,61407882,373233,5975,11.56,1.26,69,2.3,28,6780,28.84,471356
Colombia,Petroleum,72497,77413,1.07,51923158,343939,6624,52541043,365007,6975,53166281,386076,7327,11.57,1.19,81,1.7,32,6500,10.55,440829
Ecuador,Petroleum,36338,33048,0.91,18001721,115049,6391,18275347,118320,6479,18553132,121592,6567,14.6,1.52,64,2.0,28,6300,3.76,99170
Armenia,Copper,9699,8634,0.89,2780421,19513,7018,2770411,22460,7796,2760437,25408,8575,-4.04,-0.36,67,1.6,35,5960,8.59,11484
Moldova,Insulated wire,5977,9219,1.54,2539376,14510,5714,2509411,16433,6601,2479799,18356,7488,-11.19,-1.18,50,1.8,35,5500,0.91,13067
Iraq,Petroleum,78260,44817,0.57,44497557,264182,5937,46014923,265038,5958,47584031,265894,5979,34.2,3.41,71,3.4,20,5270,15.32,167974
Indonesia,Coal,315924,237447,0.75,275501253,1319100,4788,278366466,1397395,5029,281261477,1475690,5271,9.41,1.04,59,2.1,30,4580,3.46,730660
Egypt,Petroleum,76295,79712,1.04,95298253,409306,4295,97728358,378450,3760,100220431,347594,3225,25.55,2.55,41,2.8,24,4100,6.4,384788
Vietnam,Broadcasting equipment,339984,364052,1.07,98175312,408802,4164,99058889,437308,4393,99950419,465814,4623,8.19,0.9,40,1.9,33,4010,1.54,127932
Iran,Plastic,76917,26958,0.35,85234903,398047,4670,86607184,431114,4990,88001559,464181,5310,15.78,1.61,74,1.7,33,3980,8.82,629670
Philippines,Integrated circuits,98518,145889,1.48,115542726,404284,3499,117553169,437900,3814,119598594,471516,4130,16.88,1.74,47,2.7,25,3950,2.38,115830
Morocco,Fertilizers,58556,72833,1.24,38033701,130912,3442,38490105,141644,3760,38951986,152377,4078,11.1,1.2,66,2.3,29,3670,9.99,161004
Sri Lanka,Clothing,13082,17301,1.32,22715265,76187,3354,22903801,75516,3348,23093902,74846,3342,7.75,0.83,19,2.0,33,3610,6.18,25332
Bolivia,Gold,14468,13049,0.9,12224444,44008,3600,12426147,46671,3807,12631178,49334,4014,15.95,1.65,69,2.5,24,3490,3.55,424162
Bangladesh,Clothing,60138,83203,1.38,160966145,432677,2688,162994318,443919,2667,165048046,455162,2646,12.06,1.26,41,1.9,27,2820,4.27,56977
India,Petroleum,778000,677240,0.87,1437387391,3465541,2411,1453773607,3701276,2571,1470346626,3937011,2731,10.64,1.14,36,2.0,28,2390,4.82,1269292
Nigeria,Petroleum,69091,60488,0.88,219629218,475058,2163,225581169,363898,1636,231694418,252738,1110,27.23,2.71,54,5.1,17,2160,3.83,356667
Cambodia,Clothing,25497,19296,0.76,16763636,29504,1760,16976534,37327,2194,17192135,45150,2628,11.59,1.27,26,2.3,27,1690,0.23,69898
Cameroon,Petroleum,7449,7971,1.07,28351023,44341,1564,29102325,48773,1689,29873536,53205,1815,26.44,2.65,58,4.3,18,1640,3.78,179942
Pakistan,Clothing,38700,71105,1.84,205661422,326796,1589,210494465,332516,1525,215441084,338237,1461,23.3,2.35,35,3.3,21,1560,5.6,307373
Nepal,Soybean oil,2722,13716,5.04,29473448,39406,1337,29841866,41792,1367,30214889,44179,1397,13.49,1.25,22,2.0,24,1340,10.92,56827
Sudan,Gold,5908,7448,1.26,33329401,36729,1102,34202631,31797,824,35098739,26865,547,26.44,2.62,35,4.3,19,760,17.59,710689
Somalia,Goats,1363,3519,2.58,17601351,10420,592,18182195,11612,684,18782207,12804,776,34.71,3.3,46,6.1,15,600,19.29,246199
Afghanistan,Gold,1476,4689,3.18,39814606,14174,356,40937377,14320,389,42091811,14467,422,27.45,2.82,26,4.4,17,380,14.1,252072
